route_id,vehicle_type,load_weight_kg,weight_capacity_kg,weight_margin_kg,load_volume_m3,volume_capacity_m3,volume_margin_m3,capacity_check_result
FUEL-3000-017-T02,FUEL-3000,3000.0,3000.0,0.0,8.081198,13.5,5.418802,PASS
FUEL-3000-017-T03,FUEL-3000,2707.228,3000.0,292.772,6.995203,13.5,6.504797,PASS
FUEL-3000-018-T01,FUEL-3000,2841.473,3000.0,158.527,7.332603,13.5,6.167397,PASS
FUEL-3000-018-T02,FUEL-3000,3000.0,3000.0,0.0,9.823975,13.5,3.676025,PASS
FUEL-3000-019-T01,FUEL-3000,2874.921,3000.0,125.079,8.049824,13.5,5.450176,PASS
FUEL-3000-019-T02,FUEL-3000,3000.0,3000.0,0.0,8.260189,13.5,5.239811,PASS
FUEL-3000-020-T01,FUEL-3000,3000.0,3000.0,0.0,6.887149,13.5,6.612851,PASS
FUEL-3000-020-T02,FUEL-3000,2859.759,3000.0,140.241,8.09606,13.5,5.40394,PASS
FUEL-3000-021-T01,FUEL-3000,3000.0,3000.0,0.0,6.887149,13.5,6.612851,PASS
FUEL-3000-021-T02,FUEL-3000,3000.0,3000.0,0.0,8.700437,13.5,4.799563,PASS
FUEL-3000-022-T01,FUEL-3000,3000.0,3000.0,0.0,6.986844,13.5,6.513156,PASS
FUEL-3000-022-T02,FUEL-3000,3000.0,3000.0,0.0,7.701108,13.5,5.798892,PASS
FUEL-3000-023-T01,FUEL-3000,2598.728,3000.0,401.272,6.052302,13.5,7.447698,PASS
FUEL-3000-023-T02,FUEL-3000,3000.0,3000.0,0.0,7.701108,13.5,5.798892,PASS
FUEL-3000-024-T01,FUEL-3000,3000.0,3000.0,0.0,6.986844,13.5,6.513156,PASS
FUEL-3000-024-T02,FUEL-3000,3000.0,3000.0,0.0,7.053107,13.5,6.446893,PASS
FUEL-3000-025-T01,FUEL-3000,3000.0,3000.0,0.0,6.842647,13.5,6.657353,PASS
FUEL-3000-025-T02,FUEL-3000,3000.0,3000.0,0.0,7.331477,13.5,6.168523,PASS
FUEL-3000-026-T01,FUEL-3000,3000.0,3000.0,0.0,7.810805,13.5,5.689195,PASS
FUEL-3000-027-T01,FUEL-3000,3000.0,3000.0,0.0,7.810805,13.5,5.689195,PASS
