route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,start,finish,start_minutes_exact,finish_minutes_exact,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,policy_violation_count,total_cost
EV-3000-005-T03,EV-3000-005,3,EV-3000,electric,19:01,21:08,1141.405469284,1268.035452476,1,3000.0,11.615065,98.277301,39.071623,19.574883,0.0,64.077462,12.723674,0.0,0.0,0,76.801136
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,08:40,13:54,520.0,833.635184012,4,2983.442,8.423883,125.826987,48.23852,24.167498,400.0,79.111173,15.708874,0.0,0.0,0,494.820047
EV-3000-010-T02,EV-3000-010,2,EV-3000,electric,13:54,16:27,833.635184012,986.989035681,1,2866.448,8.6796,95.94126,37.823366,18.949506,0.0,62.03032,12.317179,0.0,210.56907,0,284.916569
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,08:00,15:37,480.0,936.799526457,6,2651.714,6.629952,177.724378,53.658798,136.668958,400.0,408.343451,88.834823,0.0,15.662951,0,912.841225
FUEL-3000-002-T01,FUEL-3000-002,1,FUEL-3000,fuel,08:30,13:19,510.0,798.680763544,2,2848.026,10.2151,130.15077,41.425485,105.51071,400.0,315.247939,68.581961,0.0,0.565763,0,784.395663
EV-3000-009-T02,EV-3000-009,2,EV-3000,electric,14:52,19:56,892.326695142,1195.703780701,3,2194.834,5.945487,119.320705,45.489336,22.790157,0.0,74.602511,14.813602,3.652641,195.632442,0,288.701197
EV-3000-006-T03,EV-3000-006,3,EV-3000,electric,15:17,19:52,917.02865848,1192.133752084,1,3000.0,7.108509,125.136366,49.858747,24.979232,0.0,81.768345,16.236501,0.0,291.760672,0,389.765517
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,fuel,09:10,13:25,550.0,805.01233237,1,3000.0,7.108509,125.136366,38.841511,98.92933,400.0,295.583902,64.304064,0.0,0.0,0,759.887967
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,10:00,11:22,600.0,682.285055863,1,3000.0,7.878843,36.748183,11.395644,29.024705,400.0,86.72085,18.866058,0.0,0.0,0,505.586908
FUEL-3000-004-T02,FUEL-3000-004,2,FUEL-3000,fuel,11:22,13:35,682.285055863,814.56189316,1,3000.0,7.878843,36.748183,11.996323,30.554634,0.0,91.292015,19.860512,0.0,65.521808,0,176.674335
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,10:00,11:22,600.0,682.285055863,1,3000.0,7.878843,36.748183,11.395644,29.024705,400.0,86.72085,18.866058,0.0,0.0,0,505.586908
FUEL-3000-005-T02,FUEL-3000-005,2,FUEL-3000,fuel,11:22,15:32,682.285055863,932.165605708,1,3000.0,9.837781,130.396191,40.555948,103.296001,0.0,308.630767,67.1424,0.0,82.376081,0,458.149248
EV-3000-010-T03,EV-3000-010,3,EV-3000,electric,16:27,22:59,986.989035681,1378.522319142,1,3000.0,8.652022,240.481206,95.917863,48.054849,0.0,157.305295,31.235652,0.0,394.218627,0,582.759573
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,fuel,09:10,19:08,550.0,1147.628552066,4,2981.731,8.521315,225.477444,70.099745,178.544052,400.0,533.459062,116.053633,14.818633,21.336256,0,1085.667585
EV-3000-007-T03,EV-3000-007,3,EV-3000,electric,16:30,21:38,990.128973394,1297.718604508,1,3000.0,7.785846,164.154553,65.576524,32.853839,0.0,107.5455,21.354995,0.0,358.054585,0,486.95508
EV-3000-008-T03,EV-3000-008,3,EV-3000,electric,16:30,21:38,990.128973394,1297.718604508,1,2956.665,7.673379,164.154553,65.434943,32.782906,0.0,107.313307,21.308889,0.0,358.054585,0,486.67678
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,16:47,21:48,1006.748226544,1308.357330756,1,3000.0,7.785846,164.154553,65.594911,32.86305,0.0,107.575654,21.360983,0.0,366.92019,0,495.856827
FUEL-3000-002-T02,FUEL-3000-002,2,FUEL-3000,fuel,13:19,16:06,798.680763544,965.928411812,1,3000.0,9.436114,113.846993,34.746924,88.500417,0.0,264.424095,57.525271,0.0,31.201869,0,353.151235
FUEL-3000-003-T02,FUEL-3000-003,2,FUEL-3000,fuel,13:25,16:16,805.01233237,975.819252379,1,3000.0,9.436114,113.846993,34.780195,88.585157,0.0,264.677286,57.580352,0.0,36.478176,0,358.735814
FUEL-3000-004-T03,FUEL-3000-004,3,FUEL-3000,fuel,13:35,16:28,814.56189316,987.641714518,1,2786.418,8.08285,112.020733,33.863041,86.249166,0.0,257.697743,56.061958,0.0,36.943862,0,350.703563
FUEL-3000-007-T01,FUEL-3000-007,1,FUEL-3000,fuel,13:00,14:27,780.0,866.565907278,2,2413.677,7.279662,42.918245,12.741179,32.451782,400.0,96.960369,21.093658,0.0,0.0,0,518.054027
FUEL-3000-007-T02,FUEL-3000-007,2,FUEL-3000,fuel,14:27,15:33,866.565907278,933.068057031,1,3000.0,9.052448,33.455913,10.241187,26.084304,0.0,77.935435,16.954798,0.0,35.596324,0,130.486556
FUEL-3000-008-T01,FUEL-3000-008,1,FUEL-3000,fuel,11:20,21:00,680.0,1260.050064238,6,2962.04,8.071461,197.056016,60.213793,153.364532,400.0,458.226968,99.686946,39.714918,0.118895,0,997.747726
EV-3000-003-T03,EV-3000-003,3,EV-3000,electric,19:15,21:58,1155.208270354,1318.070936076,1,3000.0,8.440433,131.671757,52.348093,26.226394,0.0,85.850872,17.047156,0.0,313.866336,0,416.764364
EV-3000-006-T04,EV-3000-006,4,EV-3000,electric,19:52,22:50,1192.133752084,1369.920578654,1,3000.0,7.294581,145.426858,57.816641,28.966137,0.0,94.819291,18.827989,0.0,345.022638,0,458.669918
EV-3000-009-T03,EV-3000-009,3,EV-3000,electric,19:56,23:46,1195.703780701,1426.375785289,1,3000.0,7.458962,194.169364,77.194959,38.674674,0.0,126.599733,25.138538,0.0,334.199819,0,485.93809
FUEL-3000-009-T01,FUEL-3000-009,1,FUEL-3000,fuel,13:20,15:39,800.0,939.34715977,1,2849.767,7.030528,96.948158,29.287398,74.595003,400.0,222.877101,48.486752,0.0,0.0,0,671.363853
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,13:20,15:39,800.0,939.34715977,1,3000.0,7.401161,96.948158,29.532782,75.219997,400.0,224.744474,48.892998,0.0,0.0,0,673.637472
FUEL-3000-011-T01,FUEL-3000-011,1,FUEL-3000,fuel,13:20,15:39,800.0,939.34715977,1,3000.0,7.401161,96.948158,29.532782,75.219997,400.0,224.744474,48.892998,0.0,0.0,0,673.637472
FUEL-3000-012-T01,FUEL-3000-012,1,FUEL-3000,fuel,13:30,22:00,810.0,1320.0407347,5,2958.32,7.818115,274.430321,82.448592,209.996563,400.0,627.433781,136.497766,0.896993,0.0,0,1164.82854
EV-3000-004-T02,EV-3000-004,2,EV-3000,electric,20:25,23:39,1224.86801438,1419.447195175,1,3000.0,7.528245,160.903812,63.969737,32.048838,0.0,104.910368,20.831745,0.0,335.964671,0,461.706784
FUEL-3000-013-T01,FUEL-3000-013,1,FUEL-3000,fuel,13:00,16:57,780.0,1016.503635537,1,3000.0,7.528245,160.903812,49.187465,125.280474,400.0,374.316611,81.432308,0.0,0.0,0,855.74892
FUEL-3000-014-T01,FUEL-3000-014,1,FUEL-3000,fuel,13:20,16:16,800.0,975.774354905,1,2933.964,10.19095,118.440203,36.041206,91.796952,400.0,274.27358,59.668019,0.0,0.0,0,733.941599
EV-3000-005-T04,EV-3000-005,4,EV-3000,electric,21:08,23:57,1268.035452476,1436.61659369,1,3000.0,7.812103,136.942285,54.443471,27.276179,0.0,89.287292,17.729516,0.0,331.105019,0,438.121827
FUEL-3000-005-T03,FUEL-3000-005,3,FUEL-3000,fuel,15:32,20:12,932.165605708,1211.718022511,2,2161.961,5.523861,107.28907,32.206556,82.030098,0.0,245.091891,53.319564,0.0,47.243685,0,345.655139
FUEL-3000-007-T03,FUEL-3000-007,3,FUEL-3000,fuel,15:33,19:01,933.068057031,1141.327743181,1,3000.0,7.677195,60.313583,19.410824,49.43937,0.0,147.716374,32.13559,0.0,20.984386,0,200.83635
FUEL-3000-001-T02,FUEL-3000-001,2,FUEL-3000,fuel,15:37,19:04,936.799526457,1143.716423428,1,3000.0,7.677195,60.313583,19.398273,49.4074,0.0,147.620854,32.11481,0.0,24.093944,0,203.829608
FUEL-3000-009-T02,FUEL-3000-009,2,FUEL-3000,fuel,15:39,20:21,939.34715977,1220.601754222,2,2939.499,7.147135,111.239793,33.132589,84.388705,0.0,252.139004,54.852658,0.0,1.650509,0,308.642172
FUEL-3000-015-T01,FUEL-3000-015,1,FUEL-3000,fuel,14:10,22:54,850.0,1374.349337505,6,2807.891,7.56947,257.54275,79.427024,202.30063,400.0,604.439653,131.49541,0.081366,20.026583,0,1156.043011
FUEL-3000-010-T02,FUEL-3000-010,2,FUEL-3000,fuel,15:39,19:51,939.34715977,1190.821109223,1,3000.0,9.344487,110.758631,34.788371,88.605982,0.0,264.739505,57.593888,0.0,72.26602,0,394.599414
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,fuel,13:30,19:18,810.0,1158.038566889,1,3000.0,7.634357,178.175546,55.210014,140.619906,400.0,420.148206,91.402939,0.0,0.0,0,911.551145
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,fuel,13:30,19:18,810.0,1158.038566889,1,3000.0,7.634357,178.175546,55.210014,140.619906,400.0,420.148206,91.402939,0.0,0.0,0,911.551145
FUEL-3000-011-T02,FUEL-3000-011,2,FUEL-3000,fuel,15:39,19:27,939.34715977,1166.663466527,1,3000.0,9.52428,84.711666,26.777248,68.201651,0.0,203.774859,44.331073,0.0,12.613922,0,260.719855
FUEL-3000-002-T03,FUEL-3000-002,3,FUEL-3000,fuel,16:06,19:40,965.928411812,1179.576233626,1,2799.925,8.88909,84.711666,26.506898,67.513069,0.0,201.717492,43.883495,0.0,73.334673,0,318.93566
FUEL-3000-018-T01,FUEL-3000-018,1,FUEL-3000,fuel,15:10,19:46,910.0,1185.515472686,2,2841.473,7.332603,110.132029,33.712043,85.864574,400.0,256.54865,55.811973,0.0,0.0,0,712.360623
FUEL-3000-019-T01,FUEL-3000-019,1,FUEL-3000,fuel,15:30,19:53,930.0,1193.417033291,2,2874.921,8.049824,111.118142,33.738087,85.930907,400.0,256.74684,55.855089,0.0,0.0,0,712.601929
EV-3000-001-T02,EV-3000-001,2,EV-3000,electric,21:33,23:36,1293.38455246,1415.764016749,1,3000.0,8.20587,94.35974,37.514137,18.794583,0.0,61.523185,12.216479,0.0,258.811904,0,332.551568
EV-3000-007-T04,EV-3000-007,4,EV-3000,electric,21:38,23:40,1297.718604508,1420.098068797,1,3000.0,8.20587,94.35974,37.514137,18.794583,0.0,61.523185,12.216479,0.0,262.423614,0,336.163278
EV-3000-008-T04,EV-3000-008,4,EV-3000,electric,21:38,23:32,1297.718604508,1411.976692586,1,3000.0,6.887149,86.874538,34.538283,17.30368,0.0,56.642784,11.247392,0.0,251.539707,0,319.429882
FUEL-3000-014-T02,FUEL-3000-014,2,FUEL-3000,fuel,16:16,19:53,975.774354905,1193.317645978,1,3000.0,6.887149,86.874538,27.577398,70.239632,0.0,209.863997,45.655761,0.0,69.323835,0,324.843593
FUEL-3000-003-T03,FUEL-3000-003,3,FUEL-3000,fuel,16:16,19:32,975.819252379,1171.635482955,1,3000.0,6.986844,71.557345,22.7608,57.971756,0.0,173.209684,37.681642,0.0,26.217846,0,237.109172
FUEL-3000-004-T04,FUEL-3000-004,4,FUEL-3000,fuel,16:28,19:41,987.641714518,1180.986579855,1,3000.0,6.986844,71.557345,22.837664,58.167529,0.0,173.794621,37.808894,0.0,61.80587,0,273.409385
FUEL-3000-013-T02,FUEL-3000-013,2,FUEL-3000,fuel,16:57,20:14,1016.503635537,1214.135070003,1,2598.728,6.052302,71.557345,22.345045,56.91283,0.0,170.045794,36.99334,0.0,89.429612,0,296.468745
FUEL-3000-007-T04,FUEL-3000-007,4,FUEL-3000,fuel,19:01,20:35,1141.327743181,1234.545440252,1,2528.135,5.33839,67.482311,19.928161,50.757026,0.0,151.653304,32.992067,0.0,107.44716,0,292.092531
FUEL-3000-020-T01,FUEL-3000-020,1,FUEL-3000,fuel,15:30,19:39,930.0,1179.210668198,1,3000.0,6.842647,105.2171,33.022255,84.107683,400.0,251.29936,54.669994,0.0,0.0,0,705.969354
FUEL-3000-021-T01,FUEL-3000-021,1,FUEL-3000,fuel,15:30,19:39,930.0,1179.210668198,1,3000.0,6.842647,105.2171,33.022255,84.107683,400.0,251.29936,54.669994,0.0,0.0,0,705.969354
FUEL-3000-022-T01,FUEL-3000-022,1,FUEL-3000,fuel,15:30,20:54,930.0,1254.242190478,4,3000.0,7.710284,130.054499,40.233055,102.47359,400.0,306.173545,66.607833,0.394757,63.15604,0,836.332176
FUEL-3000-001-T03,FUEL-3000-001,3,FUEL-3000,fuel,19:04,22:26,1143.716423428,1346.025897144,2,2964.036,8.030969,149.595232,42.891151,109.243761,0.0,326.401657,71.008445,0.0,73.820532,0,471.230633
EV-3000-002-T03,EV-3000-002,3,EV-3000,electric,21:48,23:32,1308.357330756,1412.093759745,1,3000.0,8.070727,77.177075,30.68291,15.372138,0.0,50.319973,9.99189,0.0,211.021288,0,271.33315
EV-3000-003-T04,EV-3000-003,4,EV-3000,electric,21:58,23:59,1318.070936076,1438.67976112,1,3000.0,7.660308,92.7278,36.865335,18.469533,0.0,60.45915,12.005196,0.0,216.146124,0,288.61047
FUEL-3000-006-T02,FUEL-3000-006,2,FUEL-3000,fuel,19:08,20:54,1147.628552066,1254.142662494,1,3000.0,8.271821,79.737172,24.181036,61.589098,0.0,184.017682,40.032914,0.0,59.904673,0,283.955268
FUEL-3000-023-T01,FUEL-3000-023,1,FUEL-3000,fuel,14:40,20:34,880.0,1234.008265704,1,3000.0,7.810805,192.210952,59.659293,151.952219,400.0,454.007218,98.768942,0.0,0.0,0,952.77616
FUEL-3000-024-T01,FUEL-3000-024,1,FUEL-3000,fuel,14:40,20:34,880.0,1234.008265704,1,3000.0,7.810805,192.210952,59.659293,151.952219,400.0,454.007218,98.768942,0.0,0.0,0,952.77616
FUEL-3000-016-T02,FUEL-3000-016,2,FUEL-3000,fuel,19:18,20:23,1158.038566889,1222.986753167,1,3000.0,8.081198,41.427245,12.563196,31.998459,0.0,95.605919,20.798999,0.0,40.427217,0,156.832134
FUEL-3000-017-T02,FUEL-3000-017,2,FUEL-3000,fuel,19:18,20:23,1158.038566889,1222.986753167,1,3000.0,8.081198,41.427245,12.563196,31.998459,0.0,95.605919,20.798999,0.0,40.427217,0,156.832134
FUEL-3000-011-T03,FUEL-3000-011,3,FUEL-3000,fuel,19:27,21:45,1166.663466527,1304.806299947,1,2691.136,7.9507,108.888311,32.454771,82.662302,0.0,246.980808,53.730496,0.0,68.112403,0,368.823707
FUEL-3000-003-T04,FUEL-3000-003,4,FUEL-3000,fuel,19:32,22:42,1171.635482955,1361.770735876,1,3000.0,7.087797,156.807991,47.553475,121.118702,0.0,361.881948,78.727156,0.0,91.419258,0,532.028362
FUEL-3000-020-T02,FUEL-3000-020,2,FUEL-3000,fuel,19:39,22:23,1179.210668198,1342.523447942,1,3000.0,7.701108,132.086612,40.056488,102.023875,0.0,304.829875,66.315519,0.0,82.389215,0,453.534609
FUEL-3000-021-T02,FUEL-3000-021,2,FUEL-3000,fuel,19:39,22:23,1179.210668198,1342.523447942,1,3000.0,7.701108,132.086612,40.056488,102.023875,0.0,304.829875,66.315519,0.0,82.389215,0,453.534609
FUEL-3000-002-T04,FUEL-3000-002,4,FUEL-3000,fuel,19:40,22:23,1179.576233626,1342.88901337,1,3000.0,7.701108,132.086612,40.056488,102.023875,0.0,304.829875,66.315519,0.0,82.693853,0,453.839247
FUEL-3000-004-T05,FUEL-3000-004,5,FUEL-3000,fuel,19:41,22:24,1180.986579855,1344.299359599,1,3000.0,7.701108,132.086612,40.056488,102.023875,0.0,304.829875,66.315519,0.0,83.869141,0,455.014536
FUEL-3000-018-T02,FUEL-3000-018,2,FUEL-3000,fuel,19:46,21:56,1185.515472686,1315.942620136,1,3000.0,7.053107,101.777021,30.864824,78.612707,0.0,234.881311,51.098259,0.0,43.940872,0,329.920442
FUEL-3000-010-T03,FUEL-3000-010,3,FUEL-3000,fuel,19:51,22:01,1190.821109223,1321.248256673,1,3000.0,7.053107,101.777021,30.864824,78.612707,0.0,234.881311,51.098259,0.0,48.362236,0,334.341806
FUEL-3000-014-T03,FUEL-3000-014,3,FUEL-3000,fuel,19:53,20:49,1193.317645978,1249.188106087,1,2859.759,8.09606,33.060607,9.947822,25.337102,0.0,75.702922,16.469116,0.0,13.544063,0,105.716102
FUEL-3000-019-T02,FUEL-3000-019,2,FUEL-3000,fuel,19:53,21:59,1193.417033291,1319.477845148,1,3000.0,8.700437,97.752715,29.644416,75.504328,0.0,225.594006,49.077813,0.0,37.872866,0,312.544685
FUEL-3000-005-T04,FUEL-3000-005,4,FUEL-3000,fuel,20:12,22:18,1211.718022511,1337.778834368,1,2804.296,8.132867,97.752715,29.322109,74.683411,0.0,223.141247,48.544217,0.0,53.12369,0,324.809155
FUEL-3000-013-T03,FUEL-3000-013,3,FUEL-3000,fuel,20:14,22:20,1214.135070003,1340.19588186,1,3000.0,8.700437,97.752715,29.644416,75.504328,0.0,225.594006,49.077813,0.0,55.137897,0,329.809715
FUEL-3000-009-T03,FUEL-3000-009,3,FUEL-3000,fuel,20:21,22:31,1220.601754222,1351.171320481,1,2918.815,8.92494,101.908284,30.765242,78.359072,0.0,234.123493,50.933397,0.0,49.905448,0,334.962338
FUEL-3000-016-T03,FUEL-3000-016,3,FUEL-3000,fuel,20:23,22:56,1222.986753167,1376.010784191,1,3000.0,7.331477,122.603815,37.180742,94.699351,0.0,282.945449,61.554578,0.0,45.415641,0,389.915667
FUEL-3000-017-T03,FUEL-3000-017,3,FUEL-3000,fuel,20:23,22:13,1222.986753167,1333.115501169,1,2725.323,7.50056,83.068663,24.806926,63.183239,0.0,188.780703,41.069106,0.0,27.542606,0,257.392415
FUEL-3000-023-T02,FUEL-3000-023,2,FUEL-3000,fuel,20:34,23:36,1234.008265704,1416.108394181,1,3000.0,9.823975,149.402285,45.307626,115.398524,0.0,344.791037,75.009041,0.0,58.381942,0,478.18202
FUEL-3000-025-T01,FUEL-3000-025,1,FUEL-3000,fuel,18:30,22:35,1110.0,1354.698505208,2,2707.228,6.995203,165.913789,50.092522,127.585654,400.0,381.204094,82.930675,0.0,0.836549,0,864.971317
FUEL-3000-024-T02,FUEL-3000-024,2,FUEL-3000,fuel,20:34,23:27,1234.008265704,1406.972988699,1,3000.0,8.260189,140.982486,42.754244,108.895061,0.0,325.359801,70.781789,0.0,43.742189,0,439.883779
FUEL-3000-007-T05,FUEL-3000-007,5,FUEL-3000,fuel,20:35,23:28,1234.545440252,1407.510163247,1,3000.0,8.260189,140.982486,42.754244,108.895061,0.0,325.359801,70.781789,0.0,44.189835,0,440.331425
