route_id,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,leg_distance_km,arrival,service_start,departure,waiting_minutes,late_minutes
FUEL-3000-005,FUEL-3000,fuel,2,42,379.3338,0.899477,7.238836,11:23,11:23,11:43,0.0,2.227
FUEL-3000-005,FUEL-3000,fuel,3,6,2093.3996,5.607427,12.948236,13:00,13:00,13:20,0.0,1.443
FUEL-3000-006,FUEL-3000,fuel,1,79,2132.5439,6.785549,71.086303,10:24,10:24,10:44,0.0,0.0
FUEL-3000-006,FUEL-3000,fuel,2,87,180.291,0.46473,28.0528,11:36,11:36,11:56,0.0,0.0
FUEL-3000-006,FUEL-3000,fuel,3,46,687.1651,2.253394,1.838199,12:07,12:07,12:27,0.0,0.0
FUEL-3000-007,FUEL-3000,fuel,1,38,1261.7326,4.06727,68.59541,10:38,10:38,10:58,0.0,0.0
FUEL-3000-007,FUEL-3000,fuel,2,59,1738.2674,4.572203,22.871305,11:55,11:55,12:15,0.0,0.0
FUEL-3000-008,FUEL-3000,fuel,1,6,1153.15937,3.088878,40.638134,12:38,12:38,12:58,0.0,0.0
FUEL-3000-008,FUEL-3000,fuel,2,7,1846.84063,4.543821,20.11659,13:22,13:22,13:42,0.0,0.0
FUEL-3000-009,FUEL-3000,fuel,1,46,2632.6746,8.633226,65.198096,11:19,11:19,11:39,0.0,0.0
FUEL-3000-009,FUEL-3000,fuel,2,61,367.3254,1.129738,12.377888,12:55,12:55,13:15,0.0,0.0
FUEL-3000-010,FUEL-3000,fuel,1,13,540.0868,1.27918,41.440187,12:43,12:43,13:03,0.0,0.0
FUEL-3000-010,FUEL-3000,fuel,2,7,2459.9132,6.052177,14.510032,13:19,13:19,13:39,0.0,0.0
FUEL-3000-011,FUEL-3000,fuel,1,82,428.414,1.340767,59.558745,13:04,13:04,13:24,0.0,1.861
FUEL-3000-011,FUEL-3000,fuel,2,97,17.48,0.04201,14.994382,13:40,13:42,14:02,1.87,0.0
FUEL-3000-011,FUEL-3000,fuel,3,3,235.0181,0.70348,11.993321,14:15,14:33,14:53,17.987,0.0
FUEL-3000-011,FUEL-3000,fuel,4,12,1726.8416,4.49945,10.832259,15:07,15:07,15:27,0.0,0.0
FUEL-3000-011,FUEL-3000,fuel,5,48,592.2463,1.354322,21.672601,16:04,16:06,16:26,1.842,0.0
FUEL-3000-012,FUEL-3000,fuel,1,49,2807.9179,8.472844,16.727956,13:18,13:18,13:38,0.0,0.0
FUEL-3000-012,FUEL-3000,fuel,2,83,192.0821,0.578865,17.116839,13:57,13:57,14:17,0.0,0.0
FUEL-3000-013,FUEL-3000,fuel,1,59,3000.0,7.890967,82.077276,11:38,11:38,11:58,0.0,0.0
FUEL-3000-014,FUEL-3000,fuel,1,59,3000.0,7.890967,82.077276,11:38,11:38,11:58,0.0,0.0
FUEL-3000-015,FUEL-3000,fuel,1,59,1099.0794,2.890933,82.077276,11:38,11:38,11:58,0.0,0.0
FUEL-3000-015,FUEL-3000,fuel,2,7,1900.9206,4.676875,26.785959,13:18,13:18,13:38,0.0,0.0
FUEL-3000-016,FUEL-3000,fuel,1,61,3000.0,9.226733,56.923496,13:39,13:39,13:59,0.0,0.0
FUEL-3000-017,FUEL-3000,fuel,1,61,2646.7401,8.140255,56.923496,12:30,12:30,12:50,0.0,0.0
FUEL-3000-017,FUEL-3000,fuel,2,32,255.5638,0.650121,14.302654,13:14,13:14,13:34,0.0,0.0
FUEL-3000-017,FUEL-3000,fuel,3,93,97.6961,0.33417,11.720807,13:46,13:46,14:06,0.0,0.0
FUEL-3000-018,FUEL-3000,fuel,1,83,734.7588,2.214295,9.07345,14:40,14:40,15:00,0.0,0.0
FUEL-3000-018,FUEL-3000,fuel,2,92,1524.5125,3.82045,19.404677,15:33,15:33,15:53,0.0,0.0
FUEL-3000-018,FUEL-3000,fuel,3,48,740.7287,1.693865,9.913084,16:09,16:09,16:29,0.0,0.0
FUEL-3000-019,FUEL-3000,fuel,1,94,9.186,0.01795,51.141395,13:55,13:55,14:15,0.0,0.0
FUEL-3000-019,FUEL-3000,fuel,2,56,2990.814,7.505193,13.715353,14:30,14:30,14:50,0.0,0.0
FUEL-3000-020,FUEL-3000,fuel,1,41,2786.4185,7.95611,56.010367,12:24,12:38,12:58,14.059,0.0
FUEL-3000-020,FUEL-3000,fuel,2,7,213.5815,0.525479,50.640868,13:55,13:55,14:15,0.0,0.0
FUEL-3000-021,FUEL-3000,fuel,1,35,1692.5786,3.88436,104.409466,11:09,11:09,11:29,0.0,17.395
FUEL-3000-021,FUEL-3000,fuel,2,32,186.7704,0.475119,6.530541,12:08,13:08,13:28,60.204,0.0
FUEL-3000-021,FUEL-3000,fuel,3,75,1120.651,2.918214,17.808272,13:47,14:25,14:45,37.678,0.0
FUEL-3000-022,FUEL-3000,fuel,1,7,1041.97687,2.563598,62.202727,13:32,13:32,13:52,0.0,0.0
FUEL-3000-022,FUEL-3000,fuel,2,74,1958.02313,5.691848,12.136445,14:06,14:06,14:26,0.0,0.0
FUEL-3000-023,FUEL-3000,fuel,1,70,3000.0,8.652019,120.240603,12:32,12:32,12:52,0.0,0.0
FUEL-3000-024,FUEL-3000,fuel,1,70,2674.651,7.713711,120.240603,12:32,12:32,12:52,0.0,0.0
FUEL-3000-024,FUEL-3000,fuel,2,39,325.349,0.808922,2.979506,13:02,14:08,14:28,66.098,0.0
FUEL-3000-025,FUEL-3000,fuel,1,74,1804.94907,5.246872,65.835878,13:49,13:49,14:09,0.0,0.0
FUEL-3000-025,FUEL-3000,fuel,2,73,1195.05093,2.973303,7.43062,14:17,14:17,14:37,0.0,0.143
FUEL-3000-026,FUEL-3000,fuel,1,57,3000.0,7.677194,30.156791,14:43,14:43,15:03,0.0,0.0
FUEL-3000-027,FUEL-3000,fuel,1,57,3000.0,7.677194,30.156791,14:43,14:43,15:03,0.0,0.0
FUEL-3000-028,FUEL-3000,fuel,1,57,609.653,1.560142,30.156791,15:04,15:04,15:24,0.0,0.0
FUEL-3000-028,FUEL-3000,fuel,2,45,2390.347,7.588777,33.015785,16:20,16:20,16:40,0.0,0.0
FUEL-3000-029,FUEL-3000,fuel,1,73,1837.97132,4.572897,72.713429,14:17,14:17,14:37,0.0,0.121
FUEL-3000-029,FUEL-3000,fuel,2,90,100.6088,0.22653,18.45501,14:57,14:57,15:17,0.0,0.0
FUEL-3000-029,FUEL-3000,fuel,3,36,1061.41988,3.306141,17.596343,15:47,15:47,16:07,0.0,0.0
FUEL-3000-030,FUEL-3000,fuel,1,64,3000.0,7.286971,48.474079,14:13,14:13,14:33,0.0,0.0
FUEL-3000-031,FUEL-3000,fuel,1,64,3000.0,7.286971,48.474079,14:13,14:13,14:33,0.0,0.0
FUEL-3000-032,FUEL-3000,fuel,1,64,2849.7672,6.922057,48.474079,14:53,14:53,15:13,0.0,0.0
FUEL-3000-032,FUEL-3000,fuel,2,58,150.2328,0.505565,5.024037,15:21,15:21,15:41,0.0,0.0
FUEL-3000-033,FUEL-3000,fuel,1,58,2783.7312,9.367845,59.220101,14:24,14:24,14:44,0.0,0.0
FUEL-3000-033,FUEL-3000,fuel,2,56,216.2688,0.542708,19.645751,15:09,15:09,15:29,0.0,0.0
FUEL-3000-034,FUEL-3000,fuel,1,56,3000.0,7.528245,80.451906,14:57,14:57,15:17,0.0,0.0
FUEL-3000-035,FUEL-3000,fuel,1,75,1896.7896,4.939306,68.471143,14:24,14:25,14:45,0.709,0.0
FUEL-3000-035,FUEL-3000,fuel,2,56,858.0781,2.153274,17.317797,15:06,15:06,15:26,0.0,0.0
FUEL-3000-035,FUEL-3000,fuel,3,45,245.1323,0.778236,27.873298,16:13,16:13,16:33,0.0,0.0
FUEL-3000-036,FUEL-3000,fuel,1,39,3000.0,7.458961,97.084682,14:55,14:55,15:15,0.0,0.0
FUEL-3000-037,FUEL-3000,fuel,1,39,699.5426,1.739287,97.084682,14:45,14:45,15:05,0.0,0.0
FUEL-3000-037,FUEL-3000,fuel,2,95,109.35,0.29746,17.065174,15:34,15:34,15:54,0.0,0.26
FUEL-3000-037,FUEL-3000,fuel,3,52,2191.1074,5.588303,15.94282,16:21,16:21,16:41,0.0,0.0
FUEL-3000-038,FUEL-3000,fuel,1,45,3000.0,9.524279,42.355833,16:32,16:32,16:52,0.0,0.0
FUEL-3000-039,FUEL-3000,fuel,1,45,164.4463,0.522077,42.355833,16:32,16:32,16:52,0.0,0.0
FUEL-3000-039,FUEL-3000,fuel,2,43,2835.5537,7.628327,3.892232,16:58,16:58,17:18,0.0,0.0
FUEL-3000-040,FUEL-3000,fuel,1,36,2247.83482,7.001619,55.379316,15:16,15:16,15:36,0.244,0.0
FUEL-3000-040,FUEL-3000,fuel,2,63,752.16518,2.05739,18.824017,16:08,16:08,16:28,0.0,0.0
FUEL-3000-041,FUEL-3000,fuel,1,48,3000.0,6.860264,35.778672,17:26,17:26,17:46,0.0,0.0
FUEL-3000-042,FUEL-3000,fuel,1,48,3000.0,6.860264,35.778672,17:26,17:26,17:46,0.0,0.0
FUEL-3000-043,FUEL-3000,fuel,1,48,1265.7526,2.894466,35.778672,17:00,17:00,17:20,0.0,0.0
FUEL-3000-043,FUEL-3000,fuel,2,25,1734.2474,3.662023,5.303833,17:26,17:26,17:46,0.0,0.0
FUEL-3000-044,FUEL-3000,fuel,1,65,3000.0,6.804936,43.437269,17:22,17:22,17:42,0.0,0.0
FUEL-3000-045,FUEL-3000,fuel,1,65,3000.0,6.804936,43.437269,17:22,17:22,17:42,0.0,0.0
FUEL-3000-046,FUEL-3000,fuel,1,65,552.5867,1.253439,43.437269,15:58,15:58,16:18,0.0,0.0
FUEL-3000-046,FUEL-3000,fuel,2,69,2288.8859,6.06402,7.932282,16:31,16:31,16:51,0.0,0.0
FUEL-3000-046,FUEL-3000,fuel,3,63,158.5274,0.433618,11.394651,17:07,17:07,17:27,0.0,0.0
FUEL-3000-047,FUEL-3000,fuel,1,63,3000.0,8.20587,47.17987,17:13,17:13,17:33,0.0,0.0
FUEL-3000-048,FUEL-3000,fuel,1,63,3000.0,8.20587,47.17987,17:13,17:13,17:33,0.0,0.0
FUEL-3000-049,FUEL-3000,fuel,1,63,1782.29742,4.875101,47.17987,17:13,17:13,17:33,0.0,0.0
FUEL-3000-049,FUEL-3000,fuel,2,24,1217.70258,2.851854,13.536243,17:47,17:47,18:07,0.0,0.0
FUEL-3000-050,FUEL-3000,fuel,1,25,793.8877,1.676367,33.741155,16:47,16:47,17:07,0.0,0.0
FUEL-3000-050,FUEL-3000,fuel,2,31,2206.1123,5.031882,25.588767,17:35,17:35,17:55,0.0,0.0
FUEL-3000-051,FUEL-3000,fuel,1,52,3000.0,7.651341,89.087773,15:10,15:10,15:30,0.0,0.0
FUEL-3000-052,FUEL-3000,fuel,1,52,1553.2008,3.961356,89.087773,16:13,16:13,16:33,0.0,0.0
FUEL-3000-052,FUEL-3000,fuel,2,26,45.8132,0.1362,14.17462,16:57,16:57,17:17,0.0,0.0
FUEL-3000-052,FUEL-3000,fuel,3,54,1330.551,3.513154,5.568026,17:23,17:23,17:43,0.0,0.0
FUEL-3000-052,FUEL-3000,fuel,4,91,70.435,0.39102,2.744993,17:46,17:46,18:06,0.0,0.0
FUEL-3000-053,FUEL-3000,fuel,1,43,2226.027,5.988553,38.588538,17:42,17:42,18:02,0.0,0.0
FUEL-3000-053,FUEL-3000,fuel,2,44,773.973,1.976291,5.039962,18:07,18:07,18:27,0.0,0.0
FUEL-3000-054,FUEL-3000,fuel,1,51,2449.19478,6.916326,39.868586,17:30,17:33,17:53,2.546,0.0
FUEL-3000-054,FUEL-3000,fuel,2,80,506.3405,1.90288,9.741385,18:04,18:04,18:24,0.0,0.0
FUEL-3000-054,FUEL-3000,fuel,3,24,44.46472,0.104136,8.285016,18:33,18:33,18:53,0.0,16.558
FUEL-3000-055,FUEL-3000,fuel,1,31,3000.0,6.842647,52.60855,17:44,17:44,18:04,0.0,0.0
FUEL-3000-056,FUEL-3000,fuel,1,31,1565.5085,3.570741,52.60855,17:19,17:19,17:39,0.0,0.0
FUEL-3000-056,FUEL-3000,fuel,2,81,1343.6123,3.64803,9.411893,17:49,17:49,18:09,0.0,0.0
FUEL-3000-056,FUEL-3000,fuel,3,44,90.8792,0.232054,16.538831,18:27,18:27,18:47,0.0,0.0
FUEL-3000-057,FUEL-3000,fuel,1,44,3000.0,7.660308,46.3639,17:50,17:50,18:10,0.0,0.0
FUEL-3000-058,FUEL-3000,fuel,1,44,687.4567,1.755377,46.3639,17:50,17:50,18:10,0.0,0.0
FUEL-3000-058,FUEL-3000,fuel,2,53,2312.5433,6.229374,17.308124,18:29,18:29,18:49,0.0,0.0
FUEL-3000-059,FUEL-3000,fuel,1,53,3000.0,8.081198,20.713623,18:02,18:02,18:22,0.0,0.0
FUEL-3000-060,FUEL-3000,fuel,1,53,1651.3026,4.448168,20.713623,18:02,18:02,18:22,0.0,0.0
FUEL-3000-060,FUEL-3000,fuel,2,2,14.89,0.04317,17.834682,18:42,18:42,19:02,0.0,0.0
FUEL-3000-060,FUEL-3000,fuel,3,28,969.7576,2.369918,27.681444,19:32,19:32,19:52,0.0,0.0
FUEL-3000-060,FUEL-3000,fuel,4,34,364.0498,1.5211,13.888062,20:07,20:07,20:27,0.0,0.0
FUEL-1500-001,FUEL-1500,fuel,1,89,46.248,0.2733,85.174319,16:06,16:11,16:31,4.744,0.0
FUEL-1500-001,FUEL-1500,fuel,2,84,1453.752,3.955761,21.885158,17:05,17:05,17:25,0.0,0.0
FUEL-1500-002,FUEL-1500,fuel,1,51,1006.75152,2.842984,39.868586,17:43,17:43,18:03,0.0,0.0
FUEL-1500-002,FUEL-1500,fuel,2,29,493.24848,1.155674,22.288685,18:27,18:27,18:47,0.0,0.0
FUEL-1500-003,FUEL-1500,fuel,1,84,151.5099,0.412269,104.266479,17:06,17:06,17:26,0.0,0.0
FUEL-1500-003,FUEL-1500,fuel,2,55,1348.4901,3.414296,10.433843,17:38,17:55,18:15,17.369,0.0
FUEL-1500-004,FUEL-1500,fuel,1,29,380.69652,0.891966,50.322552,17:55,17:55,18:15,0.0,0.0
FUEL-1500-004,FUEL-1500,fuel,2,68,1119.30348,2.631522,21.499576,18:38,18:38,18:58,0.0,0.0
FUEL-1500-005,FUEL-1500,fuel,1,47,1500.0,4.315533,16.530304,18:58,18:58,19:18,0.0,0.0
FUEL-1500-006,FUEL-1500,fuel,1,47,1314.0418,3.780527,16.530304,18:58,18:58,19:18,0.0,0.0
FUEL-1500-007,FUEL-1500,fuel,1,40,1500.0,4.431605,54.444156,17:59,17:59,18:19,0.0,0.0
FUEL-1500-008,FUEL-1500,fuel,1,40,1191.1358,3.519095,54.444156,17:59,17:59,18:19,0.0,0.0
FUEL-1500-008,FUEL-1500,fuel,2,55,308.8642,0.782026,17.36864,18:38,18:38,18:58,0.0,0.0
FUEL-1500-009,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-010,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-011,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-012,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-013,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-014,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-015,FUEL-1500,fuel,1,55,1500.0,3.79791,66.043306,18:12,18:12,18:32,0.0,0.0
FUEL-1500-016,FUEL-1500,fuel,1,55,40.293,0.102019,66.043306,18:52,18:52,19:12,0.0,0.0
FUEL-1500-016,FUEL-1500,fuel,2,71,1459.707,4.780041,10.259014,19:23,19:23,19:43,0.0,0.0
FUEL-1500-017,FUEL-1500,fuel,1,54,1500.0,3.960563,96.105476,18:44,18:44,19:04,0.0,0.274
FUEL-1500-018,FUEL-1500,fuel,1,54,1500.0,3.960563,96.105476,18:44,18:44,19:04,0.0,0.274
FUEL-1500-019,FUEL-1500,fuel,1,54,1500.0,3.960563,96.105476,18:44,18:44,19:04,0.0,0.274
FUEL-1500-020,FUEL-1500,fuel,1,54,1500.0,3.960563,96.105476,18:44,18:44,19:04,0.0,0.274
FUEL-1500-021,FUEL-1500,fuel,1,54,120.2533,0.317514,96.105476,18:31,18:31,18:51,0.0,0.0
FUEL-1500-021,FUEL-1500,fuel,2,27,1379.7467,3.259788,14.271727,19:07,19:07,19:27,0.0,0.0
FUEL-1500-022,FUEL-1500,fuel,1,68,1500.0,3.526554,50.88851,18:35,18:35,18:55,0.0,0.0
FUEL-1500-023,FUEL-1500,fuel,1,68,1500.0,3.526554,50.88851,18:35,18:35,18:55,0.0,0.0
FUEL-1500-024,FUEL-1500,fuel,1,68,1500.0,3.526554,50.88851,18:35,18:35,18:55,0.0,0.0
FUEL-1500-025,FUEL-1500,fuel,1,68,1500.0,3.526554,50.88851,18:35,18:35,18:55,0.0,0.0
FUEL-1500-026,FUEL-1500,fuel,1,68,295.68392,0.695163,50.88851,18:45,18:45,19:05,0.0,0.0
FUEL-1500-026,FUEL-1500,fuel,2,72,1204.31608,3.314486,14.623072,19:21,19:21,19:41,0.0,0.0
FUEL-1500-027,FUEL-1500,fuel,1,27,1500.0,3.543899,78.403996,18:25,18:25,18:45,0.0,0.0
FUEL-1500-028,FUEL-1500,fuel,1,27,353.8574,0.836023,78.403996,18:25,18:25,18:45,0.0,0.0
FUEL-1500-028,FUEL-1500,fuel,2,77,1146.1426,2.967932,19.816397,19:07,19:07,19:27,0.0,0.0
FUEL-1500-029,FUEL-1500,fuel,1,67,1500.0,4.626107,50.954142,18:55,18:55,19:15,0.0,0.0
FUEL-1500-030,FUEL-1500,fuel,1,67,1393.8822,4.298833,50.954142,19:05,19:05,19:25,0.0,0.0
FUEL-1500-030,FUEL-1500,fuel,2,28,106.1178,0.259333,10.445089,19:37,19:37,19:57,0.0,0.0
FUEL-1500-031,FUEL-1500,fuel,1,72,1335.04892,3.674285,41.534331,19:15,19:15,19:35,0.0,0.0
FUEL-1500-032,FUEL-1500,fuel,1,4,1278.61102,3.148242,35.029172,19:38,19:38,19:58,0.0,0.0
FUEL-1500-032,FUEL-1500,fuel,2,72,185.9582,0.511789,32.157911,20:33,20:33,20:53,0.0,0.0
FUEL-1500-033,FUEL-1500,fuel,1,62,1500.0,4.299676,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-034,FUEL-1500,fuel,1,62,1500.0,4.299676,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-035,FUEL-1500,fuel,1,62,1500.0,4.299676,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-036,FUEL-1500,fuel,1,62,1500.0,4.299676,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-037,FUEL-1500,fuel,1,62,1500.0,4.299676,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-038,FUEL-1500,fuel,1,62,1304.2944,3.738695,48.876357,19:13,19:13,19:33,0.0,0.0
FUEL-1500-038,FUEL-1500,fuel,2,71,195.7056,0.640869,8.421869,19:42,19:42,20:02,0.0,0.0
FUEL-1500-039,FUEL-1500,fuel,1,5,731.6005,2.31239,43.021509,19:37,19:37,19:57,0.0,0.0
FUEL-1500-039,FUEL-1500,fuel,2,10,768.3995,2.975003,2.910199,20:00,20:00,20:20,0.0,0.0
FUEL-1500-040,FUEL-1500,fuel,1,10,1500.0,5.807532,49.138651,19:43,19:43,20:03,0.0,0.0
FUEL-1500-041,FUEL-1500,fuel,1,10,1491.5855,5.774954,49.138651,19:43,19:43,20:03,0.0,0.0
FUEL-1500-042,FUEL-1500,fuel,1,28,1500.0,3.665738,61.301908,19:37,19:37,19:57,0.0,0.0
FUEL-1500-043,FUEL-1500,fuel,1,28,681.4361,1.665311,61.301908,19:37,19:37,19:57,0.0,0.0
FUEL-1500-043,FUEL-1500,fuel,2,78,818.5639,2.05429,39.314965,20:39,20:39,20:59,0.0,0.0
FUEL-1500-044,FUEL-1500,fuel,1,71,1411.6562,4.622691,74.701143,19:41,19:41,20:01,0.0,0.0
FUEL-1500-044,FUEL-1500,fuel,2,50,88.3438,0.239973,12.748521,20:15,20:15,20:35,0.0,0.0
FUEL-1500-045,FUEL-1500,fuel,1,50,1490.6278,4.049072,70.491243,20:16,20:16,20:36,0.0,0.0
FUEL-1500-046,FUEL-1500,fuel,1,98,25.5,0.0646,107.34024,19:26,19:26,19:46,0.0,0.0
FUEL-1500-046,FUEL-1500,fuel,2,77,822.1242,2.128888,13.303516,20:01,20:01,20:21,0.0,0.0
FUEL-1500-046,FUEL-1500,fuel,3,50,652.3758,1.772083,32.698236,20:56,20:56,21:16,0.0,0.0
FUEL-1500-047,FUEL-1500,fuel,1,4,164.95108,0.406148,35.029172,19:38,19:38,19:58,0.0,0.0
FUEL-1500-047,FUEL-1500,fuel,2,78,1063.8271,2.66981,19.473299,20:19,20:19,20:39,0.0,0.0
FUEL-1500-048,FUEL-1500,fuel,1,50,1500.0,4.07453,70.491243,20:16,20:16,20:36,0.0,0.0
FUEL-1500-049,FUEL-1500,fuel,1,50,1500.0,4.07453,70.491243,20:16,20:16,20:36,0.0,0.0
FUEL-1500-050,FUEL-1500,fuel,1,50,1500.0,4.07453,70.491243,20:16,20:16,20:36,0.0,0.0
EV-1250-001,EV-1250,electric,1,50,1220.9627,3.316566,70.491243,20:06,20:09,20:29,2.518,0.0
EV-1250-001,EV-1250,electric,2,19,9.3722,0.07403,14.625467,20:45,20:45,21:05,0.0,16.868
