route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,start,finish,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,policy_violation_count,total_cost
FUEL-3000-032-T01,FUEL-3000-032,1,FUEL-3000,fuel,09:10,13:40,2,3000.0,9.104549,126.767888,37.713125,96.05533,400.0,287.0,62.44,0.0,0.0,0,749.43
FUEL-3000-033-T01,FUEL-3000-033,1,FUEL-3000,fuel,19:00,21:53,1,1500.0,4.130094,140.982486,39.191391,99.820472,400.0,298.25,64.88,0.0,0.0,0,763.13
FUEL-3000-034-T01,FUEL-3000-034,1,FUEL-3000,fuel,19:00,21:53,1,1500.0,4.130094,140.982486,39.191391,99.820472,400.0,298.25,64.88,0.0,0.0,0,763.13
FUEL-3000-035-T01,FUEL-3000-035,1,FUEL-3000,fuel,19:00,21:53,1,1438.776,3.96152,140.982486,39.045969,99.450084,400.0,297.14,64.64,0.0,0.0,0,761.78
FUEL-3000-036-T01,FUEL-3000-036,1,FUEL-3000,fuel,13:20,17:32,2,3000.0,8.734905,134.993096,42.914588,109.303455,400.0,326.58,71.05,1.65,0.0,0,799.28
FUEL-3000-032-T02,FUEL-3000-032,2,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.87902,96.477863,0.0,288.26,62.71,0.0,0.0,0,350.97
FUEL-3000-022-T02,FUEL-3000-022,2,FUEL-3000,fuel,15:25,20:05,1,1500.0,3.850554,132.086612,37.874914,96.467405,0.0,288.23,62.7,0.0,0.0,0,350.93
FUEL-3000-037-T01,FUEL-3000-037,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-038-T01,FUEL-3000-038,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-039-T01,FUEL-3000-039,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-040-T01,FUEL-3000-040,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-041-T01,FUEL-3000-041,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-042-T01,FUEL-3000-042,1,FUEL-3000,fuel,15:30,20:08,1,1500.0,3.850554,132.086612,37.879408,96.478853,400.0,288.26,62.71,0.0,0.0,0,750.97
FUEL-3000-043-T01,FUEL-3000-043,1,FUEL-3000,fuel,12:50,16:04,1,3000.0,8.440433,131.671757,40.242996,102.49891,400.0,306.25,66.62,0.0,0.0,0,772.87
FUEL-3000-044-T01,FUEL-3000-044,1,FUEL-3000,fuel,09:40,14:17,2,3000.0,9.795166,134.49948,41.630786,106.033612,400.0,316.81,68.92,0.0,0.0,0,785.73
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,09:10,16:10,5,3000.0,7.703797,184.417629,58.275105,148.426692,400.0,443.47,96.48,0.91,0.83,0,941.69
FUEL-3000-046-T01,FUEL-3000-046,1,FUEL-3000,fuel,09:10,13:25,1,3000.0,7.108509,125.136366,38.841511,98.92933,400.0,295.58,64.3,0.0,0.0,0,759.89
FUEL-3000-047-T01,FUEL-3000-047,1,FUEL-3000,fuel,09:10,13:25,1,3000.0,7.108509,125.136366,38.841511,98.92933,400.0,295.58,64.3,0.0,0.0,0,759.89
FUEL-3000-048-T01,FUEL-3000-048,1,FUEL-3000,fuel,15:20,20:57,4,3000.0,8.201648,141.914367,43.428926,110.613474,400.0,330.49,71.9,0.0,0.0,0,802.39
FUEL-3000-049-T01,FUEL-3000-049,1,FUEL-3000,fuel,19:00,21:53,2,1500.0,4.172446,122.701139,33.821364,86.143014,400.0,257.38,55.99,0.0,0.0,0,713.37
FUEL-3000-050-T01,FUEL-3000-050,1,FUEL-3000,fuel,19:00,21:33,1,1500.0,3.665738,122.603815,34.082347,86.807738,400.0,259.37,56.43,0.0,0.0,0,715.79
FUEL-3000-051-T01,FUEL-3000-051,1,FUEL-3000,fuel,09:30,13:44,3,3000.0,10.407703,90.160249,29.851619,76.032073,400.0,227.17,49.42,2.13,12.79,0,691.52
FUEL-3000-052-T01,FUEL-3000-052,1,FUEL-3000,fuel,09:00,13:54,4,3000.0,9.133136,115.804182,34.337033,87.456422,400.0,261.3,56.85,9.54,0.0,0,727.69
FUEL-3000-053-T01,FUEL-3000-053,1,FUEL-3000,fuel,13:20,16:37,2,3000.0,8.982224,112.718217,33.97909,86.544743,400.0,258.58,56.25,0.0,0.0,0,714.83
FUEL-3000-054-T01,FUEL-3000-054,1,FUEL-3000,fuel,14:50,19:37,3,3000.0,7.769705,106.993683,33.228846,84.63387,400.0,252.87,55.01,0.0,0.0,0,707.88
FUEL-3000-055-T01,FUEL-3000-055,1,FUEL-3000,fuel,11:20,15:02,1,3000.0,9.436114,113.846993,35.445973,90.280892,400.0,269.74,58.68,0.0,0.0,0,728.43
FUEL-3000-046-T02,FUEL-3000-046,2,FUEL-3000,fuel,14:45,19:35,2,3000.0,9.119091,121.383202,37.782486,96.231993,0.0,287.52,62.55,0.0,0.0,0,350.08
FUEL-3000-056-T01,FUEL-3000-056,1,FUEL-3000,fuel,15:30,19:39,1,3000.0,6.842647,105.2171,33.022255,84.107683,400.0,251.3,54.67,0.0,0.0,0,705.97
FUEL-3000-057-T01,FUEL-3000-057,1,FUEL-3000,fuel,15:30,19:39,1,3000.0,6.842647,105.2171,33.022255,84.107683,400.0,251.3,54.67,0.0,0.0,0,705.97
FUEL-3000-047-T02,FUEL-3000-047,2,FUEL-3000,fuel,15:45,20:23,2,3000.0,7.959568,118.608012,36.211475,92.230628,0.0,275.57,59.95,0.0,0.0,0,335.52
FUEL-3000-058-T01,FUEL-3000-058,1,FUEL-3000,fuel,19:00,21:11,1,1500.0,4.586591,101.908284,28.329245,72.154586,400.0,215.59,46.9,0.0,0.0,0,662.49
FUEL-3000-059-T01,FUEL-3000-059,1,FUEL-3000,fuel,15:30,21:05,4,3000.0,7.75526,140.285315,43.947068,111.933183,400.0,334.44,72.76,0.39,4.94,0,812.53
FUEL-3000-060-T01,FUEL-3000-060,1,FUEL-3000,fuel,18:20,21:03,1,1500.0,3.526554,101.777021,28.623256,72.903434,400.0,217.82,47.39,0.0,0.1,0,665.31
FUEL-3000-051-T02,FUEL-3000-051,2,FUEL-3000,fuel,18:24,21:04,1,1500.0,3.526554,101.777021,28.58897,72.816106,0.0,217.56,47.33,0.0,0.72,0,265.61
FUEL-3000-052-T02,FUEL-3000-052,2,FUEL-3000,fuel,18:24,21:04,1,1500.0,3.526554,101.777021,28.588843,72.815783,0.0,217.56,47.33,0.0,0.72,0,265.61
FUEL-3000-044-T02,FUEL-3000-044,2,FUEL-3000,fuel,18:17,21:03,1,1500.0,3.526554,101.777021,28.649641,72.970635,0.0,218.02,47.43,0.0,0.0,0,265.45
FUEL-3000-055-T02,FUEL-3000-055,2,FUEL-3000,fuel,18:22,21:29,2,1500.0,4.065456,107.045914,30.601615,77.942314,0.0,232.88,50.66,0.0,0.37,0,283.92
FUEL-3000-017-T02,FUEL-3000-017,2,FUEL-3000,fuel,18:59,21:06,1,1500.0,4.350218,97.752715,27.180043,69.22757,0.0,206.84,45.0,0.0,0.0,0,251.84
FUEL-3000-043-T02,FUEL-3000-043,2,FUEL-3000,fuel,19:04,21:10,1,1500.0,4.350218,97.752715,27.174048,69.2123,0.0,206.79,44.99,0.0,0.0,0,251.78
FUEL-3000-045-T02,FUEL-3000-045,2,FUEL-3000,fuel,19:00,21:06,1,1500.0,4.350218,97.752715,27.174048,69.2123,0.0,206.79,44.99,0.0,0.0,0,251.78
FUEL-3000-028-T02,FUEL-3000-028,2,FUEL-3000,fuel,19:07,21:13,1,1500.0,4.350218,97.752715,27.174048,69.2123,0.0,206.79,44.99,0.0,0.0,0,251.78
FUEL-3000-006-T02,FUEL-3000-006,2,FUEL-3000,fuel,19:03,21:09,1,1500.0,4.350218,97.752715,27.174048,69.2123,0.0,206.79,44.99,0.0,0.0,0,251.78
FUEL-3000-053-T02,FUEL-3000-053,2,FUEL-3000,fuel,16:37,20:29,1,3000.0,7.401161,96.948158,30.663992,78.101188,0.0,233.35,50.77,0.0,209.84,0,493.96
FUEL-3000-003-T02,FUEL-3000-003,2,FUEL-3000,fuel,16:55,20:40,1,3000.0,7.401161,96.948158,30.582791,77.89437,0.0,232.74,50.63,0.0,219.04,0,502.41
FUEL-3000-023-T02,FUEL-3000-023,2,FUEL-3000,fuel,17:05,20:42,1,3000.0,8.20587,94.35974,29.726461,75.713295,0.0,226.22,49.21,0.0,113.97,0,389.4
FUEL-3000-036-T02,FUEL-3000-036,2,FUEL-3000,fuel,17:32,20:47,1,3000.0,8.20587,94.35974,29.466161,75.050312,0.0,224.24,48.78,0.0,117.96,0,390.98
FUEL-3000-029-T02,FUEL-3000-029,2,FUEL-3000,fuel,17:38,21:22,2,3000.0,7.85156,107.807393,33.215811,84.600671,0.0,252.77,54.99,0.0,214.99,0,522.75
FUEL-3000-025-T02,FUEL-3000-025,2,FUEL-3000,fuel,18:32,21:13,2,3000.0,7.777177,89.9924,27.274803,69.468924,0.0,207.56,45.15,0.0,144.49,0,397.2
FUEL-3000-024-T02,FUEL-3000-024,2,FUEL-3000,fuel,19:08,21:02,1,3000.0,6.887149,86.874538,26.345508,67.102009,0.0,200.49,43.62,0.0,126.42,0,370.53
FUEL-3000-009-T02,FUEL-3000-009,2,FUEL-3000,fuel,19:17,21:11,1,3000.0,6.887149,86.874538,26.345508,67.102009,0.0,200.49,43.62,0.0,134.33,0,378.44
FUEL-3000-018-T02,FUEL-3000-018,2,FUEL-3000,fuel,19:18,21:53,2,3000.0,9.14892,105.528409,32.376385,82.462653,0.0,246.38,53.6,0.0,401.95,0,701.93
FUEL-3000-046-T03,FUEL-3000-046,3,FUEL-3000,fuel,19:35,21:47,2,3000.0,8.939314,84.836602,25.879511,65.915114,0.0,196.94,42.84,0.0,310.91,0,550.69
FUEL-3000-054-T02,FUEL-3000-054,2,FUEL-3000,fuel,19:37,21:48,2,1500.0,4.182554,83.679855,22.683127,57.773925,0.0,172.62,37.55,0.0,6.64,0,216.81
FUEL-3000-056-T02,FUEL-3000-056,2,FUEL-3000,fuel,19:39,22:01,2,3000.0,6.667962,94.173837,27.567573,70.214609,0.0,209.79,45.64,0.0,254.96,0,510.39
FUEL-1500-001-T01,FUEL-1500-001,1,FUEL-1500,fuel,16:10,19:37,1,1500.0,4.135911,79.737172,25.279884,64.387863,400.0,192.38,41.85,0.0,0.0,0,634.23
FUEL-1500-002-T01,FUEL-1500-002,1,FUEL-1500,fuel,16:10,19:55,2,1500.0,4.145873,78.241438,25.109768,63.954578,400.0,191.09,41.57,0.0,0.0,0,632.66
FUEL-3000-057-T02,FUEL-3000-057,2,FUEL-3000,fuel,19:39,21:23,1,3000.0,8.070727,77.177075,23.404663,59.611676,0.0,178.11,38.75,0.0,103.4,0,320.26
FUEL-3000-005-T02,FUEL-3000-005,2,FUEL-3000,fuel,20:03,21:52,2,3000.0,7.050077,63.175492,18.615622,47.413988,0.0,141.66,30.82,0.0,383.76,0,556.25
FUEL-3000-022-T03,FUEL-3000-022,3,FUEL-3000,fuel,20:05,21:43,1,3000.0,6.986844,71.557345,21.700427,55.270988,0.0,165.14,35.93,0.0,163.11,0,364.17
FUEL-3000-008-T02,FUEL-3000-008,2,FUEL-3000,fuel,20:07,22:08,2,3000.0,6.977246,74.82366,22.533769,57.39351,0.0,171.48,37.31,0.0,350.21,0,559.0
FUEL-3000-032-T03,FUEL-3000-032,3,FUEL-3000,fuel,20:08,21:33,1,3000.0,7.677195,60.313583,18.290653,46.586292,0.0,139.19,30.28,0.0,234.53,0,404.0
FUEL-3000-037-T02,FUEL-3000-037,2,FUEL-3000,fuel,20:08,21:33,1,3000.0,7.677195,60.313583,18.290653,46.586292,0.0,139.19,30.28,0.0,234.75,0,404.22
FUEL-3000-038-T02,FUEL-3000-038,2,FUEL-3000,fuel,20:08,21:13,1,3000.0,8.081198,41.427245,12.563196,31.998459,0.0,95.61,20.8,0.0,82.04,0,198.45
FUEL-3000-039-T02,FUEL-3000-039,2,FUEL-3000,fuel,20:08,21:13,1,3000.0,8.081198,41.427245,12.563196,31.998459,0.0,95.61,20.8,0.0,82.04,0,198.45
FUEL-1500-003-T01,FUEL-1500-003,1,FUEL-1500,fuel,16:50,19:58,2,1500.0,4.114211,57.46257,18.340707,46.71378,400.0,139.57,30.36,0.0,0.0,0,569.94
FUEL-3000-040-T02,FUEL-3000-040,2,FUEL-3000,fuel,20:08,21:37,2,3000.0,8.207268,45.577652,14.235892,36.258817,0.0,108.34,23.57,0.0,922.46,0,1054.36
FUEL-3000-041-T02,FUEL-3000-041,2,FUEL-3000,fuel,20:08,21:08,1,3000.0,7.878843,36.748183,11.144227,28.384346,0.0,84.81,18.45,0.0,443.26,0,546.52
FUEL-3000-042-T02,FUEL-3000-042,2,FUEL-3000,fuel,20:08,21:08,1,3000.0,7.878843,36.748183,11.144227,28.384346,0.0,84.81,18.45,0.0,443.26,0,546.52
FUEL-3000-016-T03,FUEL-3000-016,3,FUEL-3000,fuel,20:22,22:57,3,3000.0,8.388003,87.890164,27.426609,69.855574,0.0,208.72,45.41,0.0,1298.95,0,1553.08
FUEL-3000-047-T03,FUEL-3000-047,3,FUEL-3000,fuel,20:23,22:40,3,3000.0,8.451796,70.733208,21.537561,54.856168,0.0,163.9,35.66,0.0,957.95,0,1157.51
FUEL-1500-004-T01,FUEL-1500-004,1,FUEL-1500,fuel,19:00,19:56,1,1500.0,4.246543,33.060607,10.025935,25.536057,400.0,76.3,16.6,0.0,0.0,0,492.9
